run_id,ts,sim_version,trace,model_profile,device,segment,first_request,requests,accesses,gpu_blocks,cpu_gib,ssd_gib,lookup,prefetch,drop_cost_rule,workload,decode,window_accesses,features_run,train_run,policy,total_ms,prefill_ms,decode_ms,gpu_hits,cpu_hits,ssd_hits,recompute,cpu_writes,ssd_writes,ssd_write_mibps,write_feasible,device_write_mibps,best_baseline,vs_best_baseline_pct,oracle_headroom_pct,headroom_captured_pct
20260905-144106-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:06.637628+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143045-m5p-feat-lc128kz-qwen-awq,20260905-143633-m5p-train-lc128kz-qwen-awq,cpu_lru,2433004.99,2433004.99,0.0,114688,98304,0,154628,235815,0,,,2512.0,tier_fs,-27.05,18.813,-143.79
20260905-144106-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:06.637652+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143045-m5p-feat-lc128kz-qwen-awq,20260905-143633-m5p-train-lc128kz-qwen-awq,cpu_arc,2557392.01,2557392.01,0.0,106903,97897,0,162820,239260,0,,,2512.0,tier_fs,-33.546,18.813,-178.31
20260905-144106-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:06.637671+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143045-m5p-feat-lc128kz-qwen-awq,20260905-143633-m5p-train-lc128kz-qwen-awq,tier_fs,1914996.27,1914996.27,0.0,114688,98304,65536,89092,235815,109425,,,2512.0,tier_fs,0.0,18.813,0.0
20260905-144106-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:06.637689+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143045-m5p-feat-lc128kz-qwen-awq,20260905-143633-m5p-train-lc128kz-qwen-awq,tiara_sym_l2,1941105.9,1941105.9,0.0,146118,92383,21614,107505,116713,40279,,,2512.0,tier_fs,-1.363,18.813,-7.25
20260905-144106-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:06.637706+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143045-m5p-feat-lc128kz-qwen-awq,20260905-143633-m5p-train-lc128kz-qwen-awq,tiara_cost_l2,1744541.66,1744541.66,0.0,145965,104780,22985,93890,135209,53725,,,2512.0,tier_fs,8.901,18.813,47.31
20260905-144106-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:06.637721+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,102702,20260905-143045-m5p-feat-lc128kz-qwen-awq,20260905-143633-m5p-train-lc128kz-qwen-awq,oracle,1554736.24,1554736.24,0.0,175697,90690,12141,89092,98882,12141,,,2512.0,tier_fs,18.813,18.813,
20260905-144113-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:13.404848+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,83,37,309135,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,17117,20260905-143031-m5p-feat-lc128kz-qwen-awq,20260905-143314-m5p-train-lc128kz-qwen-awq,full_gpu,3397231.37,3397231.37,0.0,90112,0,0,219023,0,0,,,2512.0,tier_fs,-96.93,16.274,-595.61
20260905-144113-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:13.404926+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,83,37,309135,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,17117,20260905-143031-m5p-feat-lc128kz-qwen-awq,20260905-143314-m5p-train-lc128kz-qwen-awq,cpu_lru,2028974.15,2028974.15,0.0,90112,90112,0,128911,201906,0,,,2512.0,tier_fs,-17.615,16.274,-108.24
20260905-144113-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:13.404951+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,83,37,309135,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,17117,20260905-143031-m5p-feat-lc128kz-qwen-awq,20260905-143314-m5p-train-lc128kz-qwen-awq,cpu_arc,2153361.17,2153361.17,0.0,84119,87913,0,137103,207899,0,,,2512.0,tier_fs,-24.825,16.274,-152.55
20260905-144113-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:13.404975+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,83,37,309135,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,17117,20260905-143031-m5p-feat-lc128kz-qwen-awq,20260905-143314-m5p-train-lc128kz-qwen-awq,tier_fs,1725097.34,1725097.34,0.0,90112,90112,40960,87951,201906,83708,,,2512.0,tier_fs,0.0,16.274,0.0
20260905-144113-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:13.404991+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,83,37,309135,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,17117,20260905-143031-m5p-feat-lc128kz-qwen-awq,20260905-143314-m5p-train-lc128kz-qwen-awq,tiara_sym_l2,1683084.95,1683084.95,0.0,63257,122132,32402,91344,155690,63133,,,2512.0,tier_fs,2.435,16.274,14.96
20260905-144113-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:13.405010+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,83,37,309135,17117,24.0,512.0,prefix,1,tail,longctx-zipf,0,17117,20260905-143031-m5p-feat-lc128kz-qwen-awq,20260905-143314-m5p-train-lc128kz-qwen-awq,oracle,1444351.88,1444351.88,0.0,150388,66847,3949,87951,66847,3949,,,2512.0,tier_fs,16.274,16.274,
20260905-144121-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:21.066779+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,1,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,full_gpu,4249850.6,3925649.23,324201.37,114688,0,0,252932,0,0,,,2512.0,tier_fs,-89.793,16.089,-558.11
20260905-144121-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:21.066871+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,1,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,cpu_lru,2757206.36,2433004.99,324201.37,114688,98304,0,154628,235815,0,,,2512.0,tier_fs,-23.134,16.089,-143.79
20260905-144121-m5p-policy-toolagent-qwen-awq,2026-09-05T14:41:21.066895+08:00,fbea1a98,toolagent,qwen-awq,nvme,test,76,44,367620,17117,24.0,512.0,prefix,1,tail,longctx-zipf,1,102702,20260905-143044-m5p-feat-lc128kz-qwen-awq,20260905-143310-m5p-train-lc128kz-qwen-awq,cpu_arc,2881593.38,2557392.01,324201.37,106903,97897,0,162820,239260,0,,,2512.0,tier_fs,-28.689,16.089,-178.31
