ts,sim_version,trace,ssd_gib,ssd_blocks,ssd_covers_working_set_pct,working_set_tib,device_total_tib,fs_root,device_free_gib,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,evict_free,evict_to_cpu,evict_to_ssd,ssd_writes,cpu_writes,trace_duration_s,ssd_write_mibps,device_write_mibps_sustained,best_baseline,oracle_headroom_pct,verdict,model_profile,gpu_budget_tokens,cpu_budget_gib,unique_blocks,lookup,prefetch,oracle_dest,device,cost_model
2026-08-31T17:32:08.510527+08:00,ef1fc3a6,conversation,32.0,16384,0.29,10.82,3.58,/home/hungwei,432.9,oracle,59617451.68,636228,598466,158677,7661862,5671017,598466,159590,453118,1373985,3537.0,256.2,2512.0,tier_fs,9.35,MARGINAL,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:34:25.313205+08:00,ef1fc3a6,conversation,128.0,65536,1.16,10.82,3.58,/home/hungwei,432.9,full_gpu,65925766.94,371289,0,0,8683944,,,,0,0,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:34:25.313340+08:00,ef1fc3a6,conversation,128.0,65536,1.16,10.82,3.58,/home/hungwei,432.9,cpu_lru,65843971.52,371289,18042,0,8665902,,,,0,8680936,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:34:25.313382+08:00,ef1fc3a6,conversation,128.0,65536,1.16,10.82,3.58,/home/hungwei,432.9,cpu_arc,65843971.52,384985,4346,0,8665902,,,,0,8667240,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:34:25.313419+08:00,ef1fc3a6,conversation,128.0,65536,1.16,10.82,3.58,/home/hungwei,432.9,tier_fs,65345551.45,371289,18042,161019,8504883,,,,8650606,8680936,3537.0,4891.5,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:34:25.313451+08:00,ef1fc3a6,conversation,128.0,65536,1.16,10.82,3.58,/home/hungwei,432.9,oracle,57173285.85,636228,598466,630859,7189680,5671017,598466,640755,1274279,1373985,3537.0,720.5,2512.0,tier_fs,12.506,MARGINAL,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:36:38.947545+08:00,ef1fc3a6,conversation,512.0,262144,4.62,10.82,3.58,/home/hungwei,432.9,full_gpu,65925766.94,371289,0,0,8683944,,,,0,0,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:36:38.947678+08:00,ef1fc3a6,conversation,512.0,262144,4.62,10.82,3.58,/home/hungwei,432.9,cpu_lru,65843971.52,371289,18042,0,8665902,,,,0,8680936,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:36:38.947711+08:00,ef1fc3a6,conversation,512.0,262144,4.62,10.82,3.58,/home/hungwei,432.9,cpu_arc,65843971.52,384985,4346,0,8665902,,,,0,8667240,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:36:38.947739+08:00,ef1fc3a6,conversation,512.0,262144,4.62,10.82,3.58,/home/hungwei,432.9,tier_fs,61513909.8,371289,18042,1380648,7285254,,,,8650606,8680936,3537.0,4891.5,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:36:38.947765+08:00,ef1fc3a6,conversation,512.0,262144,4.62,10.82,3.58,/home/hungwei,432.9,oracle,53777972.3,636228,598466,2146514,5674025,5671017,598466,2146514,2146514,1373985,3537.0,1213.7,2512.0,tier_fs,12.576,MARGINAL,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:38:53.955112+08:00,ef1fc3a6,conversation,2048.0,1048576,18.48,10.82,3.58,/home/hungwei,432.9,full_gpu,65925766.94,371289,0,0,8683944,,,,0,0,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:38:53.955252+08:00,ef1fc3a6,conversation,2048.0,1048576,18.48,10.82,3.58,/home/hungwei,432.9,cpu_lru,65843971.52,371289,18042,0,8665902,,,,0,8680936,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:38:53.955286+08:00,ef1fc3a6,conversation,2048.0,1048576,18.48,10.82,3.58,/home/hungwei,432.9,cpu_arc,65843971.52,384985,4346,0,8665902,,,,0,8667240,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:38:53.955314+08:00,ef1fc3a6,conversation,2048.0,1048576,18.48,10.82,3.58,/home/hungwei,432.9,tier_fs,57948728.38,371289,18042,2727142,5938760,,,,8650606,8680936,3537.0,4891.5,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:38:53.955340+08:00,ef1fc3a6,conversation,2048.0,1048576,18.48,10.82,3.58,/home/hungwei,432.9,oracle,53777972.3,636228,598466,2146514,5674025,5671017,598466,2146514,2146514,1373985,3537.0,1213.7,2512.0,tier_fs,7.197,MARGINAL,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:41:07.772690+08:00,ef1fc3a6,conversation,unlimited,1000000000,100.0,10.82,3.58,/home/hungwei,432.9,full_gpu,65925766.94,371289,0,0,8683944,,,,0,0,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:41:07.772824+08:00,ef1fc3a6,conversation,unlimited,1000000000,100.0,10.82,3.58,/home/hungwei,432.9,cpu_lru,65843971.52,371289,18042,0,8665902,,,,0,8680936,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:41:07.772853+08:00,ef1fc3a6,conversation,unlimited,1000000000,100.0,10.82,3.58,/home/hungwei,432.9,cpu_arc,65843971.52,384985,4346,0,8665902,,,,0,8667240,3537.0,0.0,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:41:07.772877+08:00,ef1fc3a6,conversation,unlimited,1000000000,100.0,10.82,3.58,/home/hungwei,432.9,tier_fs,57240493.63,371289,18042,2991877,5674025,,,,8650606,8680936,3537.0,4891.5,2512.0,tier_fs,,,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T17:41:07.772900+08:00,ef1fc3a6,conversation,unlimited,1000000000,100.0,10.82,3.58,/home/hungwei,432.9,oracle,53777972.3,636228,598466,2146514,5674025,5671017,598466,2146514,2146514,1373985,3537.0,1213.7,2512.0,tier_fs,6.049,MARGINAL,llama-bf16,48128,24.0,5674025,prefix,1,best,nvme,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
