run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,loss,feature,gain
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_3,625873.16
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_4,504509.4
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_5,322081919.08
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_6,107652318.49
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_7,1006869.45
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_8,541788.33
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,edc_9,640821.21
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,pos_tokens,30086.24
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,pos_frac,123836.83
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,req_len_tokens,4123256.84
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,last_pos_tokens,38225.1
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,pos_delta_tokens,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,req_gap,363014.15
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,n_acc,5290.33
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_age_since_first,402.36
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_1,115.49
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_2,6.36
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_3,18.95
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_4,12.24
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_5,16.06
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_6,508.8
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_7,1191.36
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_8,11.46
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_9,8.62
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_10,18.4
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_11,10.81
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_12,14.94
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_13,16.18
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_14,18.21
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_15,18.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,log_delta_16,9.84
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_0,10.69
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_1,9.23
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_2,7.71
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_3,18.78
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_4,3.93
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_5,4.63
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_6,3.23
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_7,25.87
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_8,6.44
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,edc_9,9.43
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,pos_tokens,5848390.18
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,pos_frac,77918.02
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,req_len_tokens,555023.8
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,last_pos_tokens,212346.06
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,pos_delta_tokens,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,req_gap,18699.52
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,n_acc,101064.09
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,log_age_since_first,6189.86
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,log_delta_1,2544.51
