run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,workload,label_mode,sample_rate,data_seed,feature_groups,test_trace,loss,bin_lo,bin_hi,n,mean_p_hat,empirical_rate,gap
20260905-213155-m5p-train-lc128kz-qwen-awq,2026-09-05T21:31:55.944609+08:00,lc128kz,qwen-awq,nvme,17117,16,571813,100909,295645,17116,63,0.3165,20260905-143031-m5p-feat-lc128kz-qwen-awq,longctx-zipf,censored,1.0,1234,history+deltas+edc+static,lc128kz,cost_l2,0.4,0.4667,147456,0.458,0.4444,-0.0136
20260905-213200-m5p-train-lc128ks-qwen-awq,2026-09-05T21:32:01.517978+08:00,lc128ks,qwen-awq,nvme,102702,16,1270381,224186,665997,59424,63,0.8699,20260905-143141-m5p-feat-lc128ks-qwen-awq,longctx-session,censored,1.0,1234,history+deltas+edc+static,lc128ks,sym_l2,0.7333,0.8,406216,0.768,0.8471,0.0792
20260905-213200-m5p-train-lc128ks-qwen-awq,2026-09-05T21:32:01.517978+08:00,lc128ks,qwen-awq,nvme,102702,16,1270381,224186,665997,59424,63,0.8699,20260905-143141-m5p-feat-lc128ks-qwen-awq,longctx-session,censored,1.0,1234,history+deltas+edc+static,lc128ks,sym_l2,0.8667,0.9333,259781,0.882,0.9055,0.0235
20260905-213200-m5p-train-lc128ks-qwen-awq,2026-09-05T21:32:01.517978+08:00,lc128ks,qwen-awq,nvme,102702,16,1270381,224186,665997,59424,63,0.8699,20260905-143141-m5p-feat-lc128ks-qwen-awq,longctx-session,censored,1.0,1234,history+deltas+edc+static,lc128ks,cost_l2,0.6667,0.7333,119552,0.7057,0.7546,0.0489
20260905-213200-m5p-train-lc128ks-qwen-awq,2026-09-05T21:32:01.517978+08:00,lc128ks,qwen-awq,nvme,102702,16,1270381,224186,665997,59424,63,0.8699,20260905-143141-m5p-feat-lc128ks-qwen-awq,longctx-session,censored,1.0,1234,history+deltas+edc+static,lc128ks,cost_l2,0.7333,0.8,294786,0.7488,0.8611,0.1124
20260905-213200-m5p-train-lc128ks-qwen-awq,2026-09-05T21:32:01.517978+08:00,lc128ks,qwen-awq,nvme,102702,16,1270381,224186,665997,59424,63,0.8699,20260905-143141-m5p-feat-lc128ks-qwen-awq,longctx-session,censored,1.0,1234,history+deltas+edc+static,lc128ks,cost_l2,0.8,0.8667,8192,0.8374,0.0,-0.8374
20260905-213200-m5p-train-lc128ks-qwen-awq,2026-09-05T21:32:01.517978+08:00,lc128ks,qwen-awq,nvme,102702,16,1270381,224186,665997,59424,63,0.8699,20260905-143141-m5p-feat-lc128ks-qwen-awq,longctx-session,censored,1.0,1234,history+deltas+edc+static,lc128ks,cost_l2,0.8667,0.9333,227097,0.8842,0.964,0.0798
20260905-213200-m5p-train-lc128ks-qwen-awq,2026-09-05T21:32:01.517978+08:00,lc128ks,qwen-awq,nvme,102702,16,1270381,224186,665997,59424,63,0.8699,20260905-143141-m5p-feat-lc128ks-qwen-awq,longctx-session,censored,1.0,1234,history+deltas+edc+static,lc128ks,cost_l2,0.9333,1.0,16370,1.0,1.0,0.0
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.0,0.0667,7994,0.0,0.0,0.0
20260905-213209-m5p-train-lc32ks-qwen-awq,2026-09-05T21:32:10.315181+08:00,lc32ks,qwen-awq,nvme,102702,16,854824,150852,435431,10329,63,0.8017,20260905-143910-m5p-feat-lc32ks-qwen-awq,longctx-session,censored,0.25,1234,history+deltas+edc+static,lc32ks,sym_l2,0.4,0.4667,529,0.4342,0.0,-0.4342
