run_id,ts,baseline,model_key,model,gpu,ctx,actual_prompt_tokens,round,prefix_idx,ttft_ms,tpot_ms,total_ms,gen_tokens,gpu_kv_cache_tokens,n_prefixes,caveat,concurrency_mode,quality_score,quality_metric,contaminated,guard_verdict,log,mode_source,host_contention,foreign_gpu_count,foreign_max_util
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:26:19.173774+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,16384,16384,warm,3,151.64,15.87,389.695,16,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:26:35.201877+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,cold,0,14250.223,18.667,14492.891,14,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:26:50.236597+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,cold,1,14478.189,14.639,14756.324,20,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:27:05.291665+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,cold,2,14474.619,14.04,14727.341,19,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:27:20.455029+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,cold,3,14596.06,19.526,14849.903,14,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:27:21.245556+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,warm,0,263.284,17.75,511.786,15,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:27:22.035684+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,warm,1,229.944,14.009,496.107,20,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:27:22.811832+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,warm,2,243.737,13.814,492.395,19,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:27:23.582295+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,32768,32768,warm,3,239.577,17.737,487.89,15,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:28:06.446272+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,cold,0,39704.862,23.644,40012.23,14,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:28:46.961477+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,cold,1,39931.309,24.23,40222.073,13,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:29:27.448130+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,cold,2,39901.394,23.898,40188.167,13,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:30:08.176771+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,cold,3,40095.303,24.682,40416.171,14,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:30:14.836016+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,warm,0,5998.488,27.967,6362.06,14,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:30:21.498459+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,warm,1,6076.27,24.213,6391.044,14,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:30:28.005785+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,warm,2,5922.089,24.125,6235.713,14,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:30:29.219473+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,65536,65536,warm,3,619.295,21.345,854.09,12,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:32:30.873234+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,cold,0,116256.918,31.867,116575.586,11,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:34:28.194570+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,cold,1,116658.775,31.577,117006.122,12,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:36:26.244948+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,cold,2,117364.882,34.416,117743.455,12,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:38:24.025840+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,cold,3,117069.593,32.259,117456.706,13,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:40:21.972310+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,warm,0,117270.654,34.219,117647.066,12,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
20260831-002436-m3-llama-awq-cpu_arc,2026-08-31T00:42:09.735107+08:00,cpu_arc,llama-awq,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,0,126976,126976,warm,1,107102.485,32.694,107462.118,12,253744,4,,serial,NOT_MEASURED,NOT_MEASURED,False,CLEAN,/ssd7/hungwei/paper-hkv/runs/20260831-002436-m3-llama-awq-cpu_arc/server.log,recorded,HEAVY,6,100
