run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,loss,threshold_rule,pos_lo,pos_hi,kappa_median,p_star_median,positive_rate,n,drop_rate,err_rate,fn_rate,fp_rate,cost_ms,cost_ms_fn,cost_ms_fp,cost_us_per_decision
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,p_star,32768,65536,37.19,0.0262,0.0,57231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,p_star,65536,131072,59.0,0.0167,0.0,13501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,0,4096,11.98,0.077,0.6089,407920,0.3887,0.0027,0.0002,0.0025,577.9,268.36,309.54,1.417
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,4096,8192,14.21,0.0657,0.3982,231913,0.6018,0.0004,0.0002,0.0002,246.33,234.99,11.34,1.062
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,8192,16384,17.76,0.0533,0.0,136556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,16384,32768,24.12,0.0398,0.0,103773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,32768,65536,37.19,0.0262,0.0,57231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,65536,131072,59.0,0.0167,0.0,13501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,0,4096,11.98,0.077,0.6089,407920,0.3887,0.0028,0.0002,0.0026,582.67,268.36,314.31,1.428
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,4096,8192,14.21,0.0657,0.3982,231913,0.6018,0.0004,0.0002,0.0002,246.33,234.99,11.34,1.062
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,8192,16384,17.76,0.0533,0.0,136556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,16384,32768,24.12,0.0398,0.0,103773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,32768,65536,37.19,0.0262,0.0,57231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132533-m5p-train-toolagent-qwen-awq,2026-09-05T13:25:34.002415+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,65536,131072,59.0,0.0167,0.0,13501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,0,4096,11.93,0.0774,0.1569,194718,0.8431,0.0007,0.0004,0.0003,294.56,274.56,20.0,1.513
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,4096,8192,14.41,0.0649,0.0,126031,0.9994,0.0006,0.0,0.0006,23.88,0.0,23.88,0.189
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,8192,16384,17.8,0.0532,0.0,151688,0.9993,0.0007,0.0,0.0007,31.34,0.0,31.34,0.207
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,16384,32768,24.16,0.0397,0.0,118092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,32768,65536,37.31,0.0261,0.0,67704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,65536,131072,59.4,0.0166,0.0,19986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,p_star,0,4096,11.93,0.0774,0.1569,194718,0.8431,0.0007,0.0004,0.0003,294.56,274.56,20.0,1.513
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,p_star,4096,8192,14.41,0.0649,0.0,126031,0.9994,0.0006,0.0,0.0006,23.88,0.0,23.88,0.189
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,p_star,8192,16384,17.8,0.0532,0.0,151688,0.9993,0.0007,0.0,0.0007,31.34,0.0,31.34,0.207
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,p_star,16384,32768,24.16,0.0397,0.0,118092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,p_star,32768,65536,37.31,0.0261,0.0,67704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,p_star,65536,131072,59.4,0.0166,0.0,19986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,0.5,0,4096,11.93,0.0774,0.1569,194718,0.8431,0.0007,0.0004,0.0003,294.56,274.56,20.0,1.513
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,0.5,4096,8192,14.41,0.0649,0.0,126031,0.9994,0.0006,0.0,0.0006,23.88,0.0,23.88,0.189
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,0.5,8192,16384,17.8,0.0532,0.0,151688,0.9993,0.0007,0.0,0.0007,31.34,0.0,31.34,0.207
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,0.5,16384,32768,24.16,0.0397,0.0,118092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,0.5,32768,65536,37.31,0.0261,0.0,67704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,0.5,65536,131072,59.4,0.0166,0.0,19986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,p_star,0,4096,11.93,0.0774,0.1569,194718,0.8431,0.0007,0.0004,0.0003,294.56,274.56,20.0,1.513
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,p_star,4096,8192,14.41,0.0649,0.0,126031,0.9994,0.0006,0.0,0.0006,23.88,0.0,23.88,0.189
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,p_star,8192,16384,17.8,0.0532,0.0,151688,0.9993,0.0007,0.0,0.0007,31.34,0.0,31.34,0.207
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,p_star,16384,32768,24.16,0.0397,0.0,118092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,p_star,32768,65536,37.31,0.0261,0.0,67704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132547-m5p-train-conversation-qwen-awq,2026-09-05T13:25:47.926791+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,cost_l2,p_star,65536,131072,59.4,0.0166,0.0,19986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,0.5,0,4096,11.98,0.077,0.6089,407920,0.3887,0.0027,0.0002,0.0025,577.9,268.36,309.54,1.417
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,0.5,4096,8192,14.21,0.0657,0.3982,231913,0.6018,0.0004,0.0002,0.0002,246.33,234.99,11.34,1.062
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,0.5,8192,16384,17.76,0.0533,0.0,136556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,0.5,16384,32768,24.12,0.0398,0.0,103773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,0.5,32768,65536,37.19,0.0262,0.0,57231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,0.5,65536,131072,59.0,0.0167,0.0,13501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,p_star,0,4096,11.98,0.077,0.6089,407920,0.3887,0.0028,0.0002,0.0026,582.67,268.36,314.31,1.428
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,p_star,4096,8192,14.21,0.0657,0.3982,231913,0.6018,0.0004,0.0002,0.0002,246.33,234.99,11.34,1.062
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,p_star,8192,16384,17.76,0.0533,0.0,136556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,p_star,16384,32768,24.12,0.0398,0.0,103773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,p_star,32768,65536,37.19,0.0262,0.0,57231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,sym_l2,p_star,65536,131072,59.0,0.0167,0.0,13501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,0,4096,11.98,0.077,0.6089,407920,0.3887,0.0027,0.0002,0.0025,577.9,268.36,309.54,1.417
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,4096,8192,14.21,0.0657,0.3982,231913,0.6018,0.0004,0.0002,0.0002,246.33,234.99,11.34,1.062
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,8192,16384,17.76,0.0533,0.0,136556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,16384,32768,24.12,0.0398,0.0,103773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,32768,65536,37.19,0.0262,0.0,57231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,0.5,65536,131072,59.0,0.0167,0.0,13501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,0,4096,11.98,0.077,0.6089,407920,0.3887,0.0028,0.0002,0.0026,585.66,268.36,317.3,1.436
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,4096,8192,14.21,0.0657,0.3982,231913,0.6018,0.0005,0.0002,0.0002,250.81,234.99,15.82,1.081
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,8192,16384,17.76,0.0533,0.0,136556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,16384,32768,24.12,0.0398,0.0,103773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,32768,65536,37.19,0.0262,0.0,57231,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132559-m5p-train-toolagent-qwen-awq,2026-09-05T13:26:00.638257+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,7,0.3583,20260905-131229-m5p-feat-toolagent-qwen-awq,cost_l2,p_star,65536,131072,59.0,0.0167,0.0,13501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132613-m5p-train-conversation-qwen-awq,2026-09-05T13:26:13.917779+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,7,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,0,4096,11.93,0.0774,0.1569,194718,0.8434,0.0004,0.0004,0.0,276.95,274.56,2.39,1.422
20260905-132613-m5p-train-conversation-qwen-awq,2026-09-05T13:26:13.917779+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,7,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,4096,8192,14.41,0.0649,0.0,126031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132613-m5p-train-conversation-qwen-awq,2026-09-05T13:26:13.917779+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,7,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,8192,16384,17.8,0.0532,0.0,151688,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132613-m5p-train-conversation-qwen-awq,2026-09-05T13:26:13.917779+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,7,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,16384,32768,24.16,0.0397,0.0,118092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20260905-132613-m5p-train-conversation-qwen-awq,2026-09-05T13:26:13.917779+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,7,0.0451,20260905-131229-m5p-feat-conversation-qwen-awq,sym_l2,0.5,32768,65536,37.31,0.0261,0.0,67704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
