ts,trace,gpu_budget_tokens,gpu_blocks,unique_blocks,accesses,requests,pressure_x,policy,total_ms,gpu_hits,cpu_hits,ssd_hits,recompute,evict_free,evict_to_cpu,evict_to_ssd,evict_swap_cpu,evict_lost,evict_free_pct,best_baseline,oracle_headroom_pct,verdict,model_profile,lookup,prefetch,cpu_budget_gib,device,cost_model
2026-08-31T15:48:20.361395+08:00,toolagent,188,11,183300,409616,23608,16663.636,tier_fs,926652.56,5874,188860,31582,183300,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:20.361413+08:00,toolagent,188,11,183300,409616,23608,16663.636,oracle,777882.42,107959,118357,0,183300,183289,118357,0,0,0,60.763,cpu_arc,14.294,MARGINAL_ASK_HUMAN,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:22.963637+08:00,conversation,48128,3008,182790,288500,12031,60.768,full_gpu,1110714.16,18832,0,0,269668,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:22.963744+08:00,conversation,48128,3008,182790,288500,12031,60.768,cpu_lru,893333.02,18832,55355,0,214313,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:22.963769+08:00,conversation,48128,3008,182790,288500,12031,60.768,cpu_arc,892931.53,18905,55349,0,214246,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:22.963788+08:00,conversation,48128,3008,182790,288500,12031,60.768,tier_fs,897000.79,18832,55355,31523,182790,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:22.963806+08:00,conversation,48128,3008,182790,288500,12031,60.768,oracle,757581.23,85025,20685,0,182790,179782,20685,0,0,0,89.682,cpu_arc,15.158,GO,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:25.333328+08:00,conversation,24064,1504,182790,288500,12031,121.536,full_gpu,1131502.91,13739,0,0,274761,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:25.333425+08:00,conversation,24064,1504,182790,288500,12031,121.536,cpu_lru,905675.48,13739,57398,0,217363,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:25.333452+08:00,conversation,24064,1504,182790,288500,12031,121.536,cpu_arc,905497.66,15689,55434,0,217377,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:25.333473+08:00,conversation,24064,1504,182790,288500,12031,121.536,tier_fs,909078.44,13739,57398,34573,182790,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:25.333491+08:00,conversation,24064,1504,182790,288500,12031,121.536,oracle,761181.53,65718,39992,0,182790,181286,39992,0,0,0,81.927,cpu_arc,15.938,GO,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:28.302127+08:00,conversation,12032,752,182790,288500,12031,243.072,full_gpu,1137183.24,12347,0,0,276153,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:28.302264+08:00,conversation,12032,752,182790,288500,12031,243.072,cpu_lru,913421.22,12347,56870,0,219283,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:28.302290+08:00,conversation,12032,752,182790,288500,12031,243.072,cpu_arc,912918.64,13418,55880,0,219202,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
2026-08-31T15:48:28.302312+08:00,conversation,12032,752,182790,288500,12031,243.072,tier_fs,916774.54,12347,56870,36493,182790,,,,,,,cpu_arc,,,llama-bf16,prefix,1,24.0,sata,/home/hungwei/llm/POC/paper-hierarchical-kv-state/results/m4_oracle/cost_model.json
